ID No.	Nickname	Ref. No	PCE_max(%)	PCE_ave(%)	Voc (V)	Jsc (mA cm^2)	FF	Mw (kg mol^-1)	Mn (kg mol^-1)	PDI (=Mw/Mn)	Monomer (g mol^-1)	-HOMO (eV)	-LUMO (eV)	bandgap(eV)	SMILES
1008	PTBI2Tz	S414	0.05 	0.05 	0.400 	0.340 	0.320 	517.0 	114.0 	4.54 	1311	6.12 	3.56 	1.91 	O=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C2C=C(C)SC2C3=C(C(SC(C(SC(C4=CN=C(C5=NC=C(C)S5)S4)=C6)=C6C(N7CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C8C7=O)=C8S3)C1=O
1009	PBDTDTBT-H	S415	7.68 	7.56 	0.830 	13.920 	0.665 	165.0 	98.2 	1.68 	1057	5.03 	3.30 	1.73 	CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=CC=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2C8=CC=CC=C8
1010	PBDTDTBT-R	S415	8.22 	8.12 	0.840 	13.640 	0.717 	282.2 	120.1 	2.35 	1185	5.01 	3.29 	1.72 	CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=CC=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2C8=CC=C(OCC(CC)CCCC)C=C8
1011	PBDTDTffBT-H	S415	9.44 	9.34 	0.880 	14.920 	0.719 	127.0 	63.2 	2.01 	1092	5.06 	3.30 	1.76 	CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=C(F)C(F)=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2C8=CC=CC=C8
1012	PBDTDTffBT-R	S415	9.09 	9.01 	0.880 	13.980 	0.739 	153.3 	71.3 	2.15 	1221	5.03 	3.28 	1.75 	CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=C(F)C(F)=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2C8=CC=C(OCC(CC)CCCC)C=C8
1013	PBDTTT-H	S415	9.38 	9.21 	0.800 	17.370 	0.675 	181.5 	73.5 	2.47 	846	5.10 	3.42 	1.68 	CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C4C(C(F)=C(C(OCC(CC)CCCC)=O)S4)=C(C)S3)S5)C5=C2C6=CC=CC=C6
1014	PBDTTT-R	S415	5.72 	5.58 	0.820 	12.100 	0.576 	101.2 	46.2 	2.19 	974	5.06 	3.39 	1.67 	CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C4C(C(F)=C(C(OCC(CC)CCCC)=O)S4)=C(C)S3)S5)C5=C2C6=CC=C(OCC(CC)CCCC)C=C6
1015	P1	S416	4.90 	4.76 	0.530 	16.100 	0.570 	70.2 	48.1 	1.46 	652	4.94 	3.56 	1.37 	CC1=CC=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=C(OCC(CCCCC)CCC)C=C(C)S3)S2)C4=NSN=C41
1016	P2	S416	6.88 	6.72 	0.600 	18.040 	0.650 	86.3 	56.8 	1.52 	670	5.13 	3.76 	1.37 	CC1=CC(F)=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=C(OCC(CCCCC)CCC)C=C(C)S3)S2)C4=NSN=C41
1017	P3	S416	9.76 	9.61 	0.660 	20.690 	0.710 	89.8 	53.8 	1.67 	688	5.20 	3.74 	1.46 	CC1=C(F)C(F)=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=C(OCC(CCCCC)CCC)C=C(C)S3)S2)C4=NSN=C41
1018	P1	S417	4.11 	4.08 	0.650 	10.580 	0.593 	188.5 	23.3 	8.08 	1637	5.05 	3.45 	1.60 	CC1=CC2=C(C(C3=CC=C(C4=CC(C=CC(OCC(CCCCCCCC)CCCCCC)=C5)=C5C=C4)S3)=C(C=C(C6=C(CCCCCCCC)C=C(C7=CC=C(C8=CC(CCCCCCCC)=C(C)S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC(C=CC(OCC(CCCCCCCC)CCCCCC)=C%13)=C%13C=C%12)S%11)S1
1019	P2	S417	5.73 	5.66 	0.730 	12.870 	0.602 	87.7 	22.6 	3.89 	1655	5.09 	3.49 	1.60 	CC1=CC2=C(C(C3=CC=C(C4=CC(C=CC(OCC(CCCCCCCC)CCCCCC)=C5)=C5C=C4)S3)=C(C=C(C6=C(CCCCCCCC)C=C(C7=CC(F)=C(C8=CC(CCCCCCCC)=C(C)S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC(C=CC(OCC(CCCCCCCC)CCCCCC)=C%13)=C%13C=C%12)S%11)S1
1020	P3	S417	8.26 	8.17 	0.820 	14.410 	0.700 	106.7 	25.2 	4.24 	1673	5.06 	3.41 	1.65 	CC1=CC2=C(C(C3=CC=C(C4=CC(C=CC(OCC(CCCCCCCC)CCCCCC)=C5)=C5C=C4)S3)=C(C=C(C6=C(CCCCCCCC)C=C(C7=C(F)C(F)=C(C8=CC(CCCCCCCC)=C(C)S8)C9=NSN=C97)S6)S%10)C%10=C2C%11=CC=C(C%12=CC(C=CC(OCC(CCCCCCCC)CCCCCC)=C%13)=C%13C=C%12)S%11)S1
1021	PzIIG-BDT2TC8	S418	5.26 	5.26 	1.010 	7.930 	0.656 	69.4 	28.2 	2.46 	1419	5.48 	3.64 	1.63 	CC1=CC(N(CCCCCCCC)C(C2=CC3=CN=C(/C=C4C(C=CC(C5=CC6=C(C(C7=CC(CCCCCCCC)=C(CCCCCCCC)S7)=C(C=C(C)S8)C8=C6C9=CC(CCCCCCCC)=C(CCCCCCCC)S9)S5)=C%10)=C%10N(CCCCCCCC)C\4=O)C=N3)=O)=C2C=C1
1022	PzIIG-BTT2TC10	S418	3.36 	3.36 	0.940 	5.890 	0.608 	51.2 	23.5 	2.18 	1643	5.40 	3.58 	1.64 	CC1=CC(N(CCCCCCCC)C(C2=CC3=CN=C(/C=C4C(C=CC(C5=CC6=C(S5)C7=C(C(C8=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S8)=C(C(SC(C)=C9)=C9S%10)C%10=C7C%11=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S%11)S6)=C%12)=C%12N(CCCCCCCC)C\4=O)C=N3)=O)=C2C=C1
1023	PMOT5	S419	9.25 	9.11 	0.960 	13.450 	0.710 	112.5 	45.9 	2.45 	1272	5.28 	3.22 	1.83 	CC(S1)=CC2=C1C(C3=CC(OC)=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(C(C6=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C6C7=O)=O)C7=C(C8=CC=C(C)S8)S5)S4)S9)C9=C2C%10=CC(OC)=C(CC(CC)CCCC)S%10
1024	PBDTBDD	S419	6.77 	6.65 	0.840 	12.450 	0.650 	75.6 	30.0 	2.52 	1212	5.16 	3.11 	1.82 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(C(C6=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C6C7=O)=O)C7=C(C8=CC=C(C)S8)S5)S4)S9)C9=C2C%10=CC=C(CC(CC)CCCC)S%10
1025	PMOT2	S419	8.01 	7.91 	0.880 	13.180 	0.690 	52.7 	27.0 	1.95 	1403	5.22 	3.21 	1.78 	CC(S1)=CC2=C1C(C3=CC(OC)=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC(OCCCCCCCC)=CC=C8)C(C9=CC(OCCCCCCCC)=CC=C9)=N7)S4)S%10)C%10=C2C%11=CC(OC)=C(CC(CC)CCCC)S%11
1026	PBQ-3	S419	6.48 	6.32 	0.810 	11.730 	0.680 	47.9 	23.5 	2.04 	1343	5.10 	3.15 	1.73 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC(OCCCCCCCC)=CC=C8)C(C9=CC(OCCCCCCCC)=CC=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CC)CCCC)S%11
1027	PBDTBO-CIBTDD	S420	9.11 	9.01 	0.760 	16.790 	0.717 	113.8 	36.7 	3.10 	1218	5.47 	3.70 	1.70 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CCCCCC)S3)=C(C=C(C4=CC=C(C5=CC(Cl)=C(C6=CC(CCCCCCCCCCCC)=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC=C(CC(CCCC)CCCCCC)S9
1028	PBDTBO-CIBTEH	S420	6.88 	6.51 	0.790 	13.330 	0.631 	88.5 	32.9 	2.69 	1162	5.50 	3.73 	1.69 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CCCCCC)S3)=C(C=C(C4=CC=C(C5=CC(Cl)=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC=C(CC(CCCC)CCCCCC)S9
1029	PBDTHD-CIBTEH	S420	5.46 	5.29 	0.780 	10.940 	0.644 	58.6 	21.8 	2.69 	1275	5.53 	3.71 	1.71 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCCCCCC)CCCCCC)S3)=C(C=C(C4=CC=C(C5=CC(Cl)=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC=C(CC(CCCCCCCC)CCCCCC)S9
1030	PBDTHD-CIBTDD	S420	4.95 	4.72 	0.680 	11.690 	0.623 	38.9 	17.5 	2.23 	1331	5.53 	3.71 	1.68 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCCCCCC)CCCCCC)S3)=C(C=C(C4=CC=C(C5=CC(Cl)=C(C6=CC(CCCCCCCCCCCC)=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC=C(CC(CCCCCCCC)CCCCCC)S9
1031	PBPD-Th	S421	8.40 	8.20 	0.950 	12.400 	0.710 	107.0 	42.0 	2.55 	1233	5.42 	3.36 	1.90 	CC(S1)=CC2=C1C(C3=CC=CC(OCC(CCCC)CC)=C3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C(C)S8)S5)S4)S9)C9=C2C%10=CC=CC(OCC(CCCC)CC)=C%10
1032	PBPD-Se	S421	9.80 	9.60 	0.900 	14.900 	0.730 	92.0 	48.0 	1.92 	1328	5.35 	3.31 	1.77 	CC(S1)=CC2=C1C(C3=CC=CC(OCC(CCCC)CC)=C3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C(C)[Se]8)S5)[Se]4)S9)C9=C2C%10=CC=CC(OCC(CCCC)CC)=C%10
1033	PBDTT-O-TT-CF	S422	8.68 	8.68 	0.780 	16.500 	0.680 	34.6 	19.0 	1.82 	920	5.31 	3.33 	1.52 	CC(S1)=CC2=C1C(C3=CC=C(OCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(C(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(OCC(CCCC)CC)S7
1034	PBDTT-S-TT-CF	S422	9.58 	9.58 	0.890 	15.100 	0.710 	51.8 	27.0 	1.92 	952	5.44 	3.31 	1.56 	CC(S1)=CC2=C1C(C3=CC=C(SCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(C(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCC(CCCC)CC)S7
1035	PIDTBDTID	S423	2.66 	2.51 	0.870 	7.240 	0.420 	36.9 	21.5 	1.70 	2229	5.47 	3.72 	1.75 	CC1=CC2=C(C(C=C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC(C7=CC8=C(C(C9=CC=C(C)S9)=C(C=C(C)S%10)C%10=C8C%11=CC=C(/C=C/C%12=CC=C(C%13=CC(/C(C(N%14CC(CCCCCCCC)CCCCCCCCCC)=O)=C%15C(N(CC(CCCCCCCCCC)CCCCCCCC)C%16=C\%15C=CC=C%16)=O)=C%14C=C%13)S%12)S%11)S7)=C5)C6=C%17)=C%17C2(C%18=CC=C(CCCCCC)C=C%18)C%19=CC=C(CCCCCC)C=C%19)S1
1036	PIDTBDT(ID)2	S423	2.50 	2.33 	0.930 	6.340 	0.423 	13.3 	11.7 	1.10 	3144	5.53 	3.80 	1.73 	CC1=CC2=C(C(C=C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC(C7=CC8=C(C(C9=CC=C(/C=C/C%10=CC=C(C%11=CC=C(/C(C(N%12CC(CCCCCCCCCC)CCCCCCCC)=O)=C%13C(N(CC(CCCCCCCC)CCCCCCCCCC)C%14=C\%13C=CC=C%14)=O)C%12=C%11)S%10)S9)=C(C=C(C)S%15)C%15=C8C%16=CC=C(/C=C/C%17=CC=C(C%18=CC(/C(C(N%19CC(CCCCCCCC)CCCCCCCCCC)=O)=C%20C(N(CC(CCCCCCCCCC)CCCCCCCC)C%21=C\%20C=CC=C%21)=O)=C%19C=C%18)S%17)S%16)S7)=C5)C6=C%22)=C%22C2(C%23=CC=C(CCCCCC)C=C%23)C%24=CC=C(CCCCCC)C=C%24)S1
1037	P1	S424	0.61 	0.61 	0.600 	3.080 	0.330 	49.4 	19.0 	2.60 	1100	5.26 	2.86 	2.40 	CC1=CC2=C(C(OCC(CC)CCCC)=C(C=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=C(C6=NC(SC(C7=CC=C(N(C8=CC=C(C)C=C8)C9=CC=CC=C9)C=C7)=N%10)=C%10S6)C=C5)C=C3)S%11)C%11=C2OCC(CCCC)CC)S1
1038	P1	S425	3.00 	2.90 	0.600 	7.830 	0.609 	35.0 	24.0 	1.46 	1372	5.14 	3.69 	1.50 	CC1=CC2=C(C(OCCCCCCCCCCCC)=C(C=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)C6=NN(CCCCCCCCCCCC)N=C64)S3)S7)C7=C2OCCCCCCCCCCCC)S1
1039	P2	S425	2.28 	2.20 	0.600 	6.990 	0.588 	20.0 	14.0 	1.43 	1452	5.18 	3.57 	1.90 	CC1=CC2=C(C(OCCCCCCCCCCCC)=C(C=C(C3=C(CCCCCCCCCCCC)C=C(C4=C(N=C(C)C(C)=N5)C5=C(C6=CC(CCCCCCCCCCCC)=C(C)S6)C7=NN(CCCCCCCCCCCC)N=C74)S3)S8)C8=C2OCCCCCCCCCCCC)S1
1040	PBDT-TSR	S426	10.20 	9.91 	0.804 	17.790 	0.706 	63.0 	30.0 	2.10 	1934	5.30 	3.45 	1.55 	O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(SCCCCCCCC)S5)=C(C=C(C6=C(SC(C(OCC(CC)CCCC)=O)=C7F)C7=C(C8=CC9=C(C(C%10=CC=C(SCCCCCCCC)S%10)=C(C=C(C)S%11)C%11=C9C%12=CC=C(SCCCCCCCC)S%12)S8)S6)S%13)C%13=C4C%14=CC=C(SCCCCCCCC)S%14)S3)=C2S1
1041	PDPP[T]2-EDOT	S427	2.60 	2.50 	0.320 	15.500 	0.500 	383.4 	142.0 	2.70 	917	5.73 	3.66 	1.13 	CC1=CC=C(C2=C3C(C(N2CC(CCCCCC)CCCCCCCC)=O)=C(C4=CC=C(C5=C(OCCO6)C6=C(C)S5)S4)N(CC(CCCCCCCC)CCCCCC)C3=O)S1
1042	PDPP[Py]2-EDOT	S427	2.40 	2.20 	0.800 	5.100 	0.540 	61.7 	25.7 	2.40 	907	6.07 	3.74 	1.59 	CC1=CC=C(C2=C3C(C(N2CC(CCCCCC)CCCCCCCC)=O)=C(C4=CC=C(C5=C(OCCO6)C6=C(C)S5)C=N4)N(CC(CCCCCCCC)CCCCCC)C3=O)N=C1
1043	PDPP[Ph]2-EDOT	S427	1.80 	1.70 	0.910 	4.400 	0.430 	35.1 	16.7 	2.10 	905	5.89 	3.53 	1.91 	CC1=CC=C(C2=C3C(C(N2CC(CCCCCC)CCCCCCCC)=O)=C(C4=CC=C(C5=C(OCCO6)C6=C(C)S5)C=C4)N(CC(CCCCCCCC)CCCCCC)C3=O)C=C1
1044	PBDTA-INDI	S428	5.04 	4.81 	0.930 	8.510 	0.637 	249.0 	61.1 	4.00 	1463	5.41 	3.29 	2.00 	CC1=CC(C(OCC(CCCC)CC)=C(SC(C2=CC=C(C3=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C4=O)=O)C4=C(C=C(C5=CC=C(C)S5)C(C(N6CC(CCCCCCCC)CCCCCCCCCC)=O)=C7C6=O)C7=C3)S2)=C8)C8=C9OCC(CC)CCCC)=C9S1
1045	PBDTT-INDI	S428	6.35 	6.26 	0.960 	10.260 	0.645 	165.9 	48.3 	3.40 	1595	5.47 	3.46 	1.98 	CC1=CC(C(C2=CC=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C5=O)=O)C5=C(C=C(C6=CC=C(C)S6)C(C(N7CC(CCCCCCCC)CCCCCCCCCC)=O)=C8C7=O)C8=C4)S3)=C9)C9=C%10C%11=CC=C(CC(CC)CCCC)S%11)=C%10S1
1046	P1	S429	1.43 	1.33 	0.850 	2.790 	0.600 	39.9 	16.3 	2.50 	1141	5.60 	3.88 	1.72 	O=C(OCC(CCCCCCCCCC)CCCCCCCC)C1=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)C5=NSN=C53)S2)SC(C6=CC(C(OCC(CCCCCCCC)CCCCCCCCCC)=O)=C(C)S6)=C1
1047	P2	S429	9.26 	9.13 	0.870 	14.910 	0.710 	154.5 	42.2 	3.70 	1177	5.72 	3.95 	1.77 	O=C(OCC(CCCCCCCCCC)CCCCCCCC)C1=C(C2=CC=C(C3=C(F)C(F)=C(C4=CC=C(C)S4)C5=NSN=C53)S2)SC(C6=CC(C(OCC(CCCCCCCC)CCCCCCCCCC)=O)=C(C)S6)=C1
1048	PIDT-DTQ-T	S430	6.41 	6.41 	0.860 	11.420 	0.658 	46.2 	22.0 	2.10 	2253	5.33 	3.29 	1.63 	CC1=CC=C(C2=CC(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6C=C7C(C(SC(C8=CC=C(C9=C%10C(N=C(C%11=CC(OCCCCCCCC)=CC=C%11)C(C%12=CC=CC(OCCCCCCCC)=C%12)=N%10)=C(C%13=CC=C(C%14=C(N=C(C%15=CC(OCCCCCCCC)=CC=C%15)C(C%16=CC=CC(OCCCCCCCC)=C%16)=N%17)C%17=C(C)C=C%14)S%13)C=C9)S8)=C%18)=C%18C7(C%19=CC=C(CCCCCC)C=C%19)C%20=CC=C(CCCCCC)C=C%20)=C5)=C6S2)S1
1049	PIDT-DTQ-TT	S430	6.63 	6.63 	0.830 	12.430 	0.653 	46.0 	20.0 	2.30 	2309	5.29 	3.27 	1.60 	CC1=CC=C(C2=CC(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6C=C7C(C(SC(C8=CC=C(C9=C%10C(N=C(C%11=CC(OCCCCCCCC)=CC=C%11)C(C%12=CC=CC(OCCCCCCCC)=C%12)=N%10)=C(C%13=CC(SC(C%14=C(N=C(C%15=CC(OCCCCCCCC)=CC=C%15)C(C%16=CC=CC(OCCCCCCCC)=C%16)=N%17)C%17=C(C)C=C%14)=C%18)=C%18S%13)C=C9)S8)=C%19)=C%19C7(C%20=CC=C(CCCCCC)C=C%20)C%21=CC=C(CCCCCC)C=C%21)=C5)=C6S2)S1
1050	PBTF-OP	S431	9.00 	8.90 	0.860 	16.400 	0.622 	134.6 	64.3 	2.09 	938	5.45 	3.34 	1.62 	CC1=CC2=C(C(C3=CC=CC(OCC(CC)CCCC)=C3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CCCC)CC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=CC(OCC(CC)CCCC)=C7)S1
1051	PCDPP	S432	9.02 	9.02 	0.860 	16.000 	0.650 	705.8 	136.0 	5.19 	1948	5.44 	3.89 	1.55 	CC1=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C2=O)=C3C2=C(C4=CC=C(C5=CC(F)=C(C6=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C7=O)=C8C7=C(C9=CC=C(C%10=CC(N(CC(CC)CCCC)C%11=C%12C=C(F)C(C)=C%11)=C%12C=C%10F)S9)N(CC(CCCCCC)CCCCCCCC)C8=O)S6)C=C5F)S4)N(CC(CCCCCC)CCCCCCCC)C3=O)S1
1052	PF0	S433	5.70 	5.62 	0.740 	11.760 	0.655 	53.2 	28.0 	1.90 	1465	5.29 	3.58 	1.71 	CC1=CC2=C(C(C3=CC4=C(C=C(CC(CCCCCC)CCCCCCCC)S4)S3)=C(C=C(C5=C(CC(CC)CCCC)C=C(C6=CC=C(C7=CC(CC(CCCC)CC)=C(C)S7)C8=NSN=C86)S5)S9)C9=C2C%10=CC%11=C(C=C(CC(CCCCCC)CCCCCCCC)S%11)S%10)S1
1053	PF1	S433	6.29 	6.13 	0.800 	11.850 	0.662 	35.2 	22.0 	1.60 	1483	5.39 	3.70 	1.69 	CC1=CC2=C(C(C3=CC4=C(C=C(CC(CCCCCC)CCCCCCCC)S4)S3)=C(C=C(C5=C(CC(CC)CCCC)C=C(C6=C(F)C=C(C7=CC(CC(CCCC)CC)=C(C)S7)C8=NSN=C86)S5)S9)C9=C2C%10=CC%11=C(C=C(CC(CCCCCC)CCCCCCCC)S%11)S%10)S1
1054	PF2	S433	6.54 	6.45 	0.860 	11.670 	0.653 	39.8 	24.0 	1.66 	1501	5.48 	3.73 	1.75 	CC1=CC2=C(C(C3=CC4=C(C=C(CC(CCCCCC)CCCCCCCC)S4)S3)=C(C=C(C5=C(CC(CC)CCCC)C=C(C6=C(F)C(F)=C(C7=CC(CC(CCCC)CC)=C(C)S7)C8=NSN=C86)S5)S9)C9=C2C%10=CC%11=C(C=C(CC(CCCCCC)CCCCCCCC)S%11)S%10)S1
1055	PIDTT-TT	S434	7.08 	6.98 	0.960 	10.960 	0.650 	60.8 	32.5 	1.87 	1184	5.35 	3.11 	2.14 	CC1=CC2=C(C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6C=C7C(C(SC8=C9SC(C%10=CC%11=C(C=C(C)S%11)S%10)=C8)=C9C7(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)=C5)=C6S2)S1
1056	PIDTV-ffBT	S435	7.30 	7.00 	0.700 	17.100 	0.610 	90.7 	28.0 	3.24 	908	5.23 	3.69 	1.53 	CC1=CC(/C(C2=C3C=C4C(C(SC(C5=C(F)C(F)=C(C)C6=NSN=C65)=C7)=C7/C4=C/C(CCCCCC)CCCCCCCC)=C2)=C/C(CCCCCC)CCCCCCCC)=C3S1
1057	PDFBC-DPP	S436	7.33 	7.33 	0.800 	13.150 	0.680 	124.4 	73.2 	1.70 	1379	5.35 	3.82 	1.53 	CC1=CC=C(C2=C3C(C(N2CC(CCCC)CC)=O)=C(C4=CC=C(C5=C(CC(CCCCCC)CCCCCCCC)C=C(C6=C(F)C=C(C7=CC(F)=C(C8=CC(CC(CCCCCCCC)CCCCCC)=C(C)S8)C=C7N=N9)C9=C6)S5)S4)N(CC(CC)CCCC)C3=O)S1
1058	P-2T	S437	7.91 	7.69 	0.760 	17.480 	0.595 	108.8 	45.7 	2.38 	1365	5.27 	3.10 	1.63 	FC1=C(C2=CC(C3=CC=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)S3)=C(C)S2)C4=NSN=C4C(C5=CC(C6=CC=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)S6)=C(C7=CC=C(C8=CC=C(C)S8)S7)S5)=C1F
1059	P-TT	S437	9.96 	9.58 	0.800 	18.150 	0.686 	125.3 	58.0 	2.16 	1339	5.30 	3.13 	1.62 	FC1=C(C2=CC(C3=CC=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)S3)=C(C)S2)C4=NSN=C4C(C5=CC(C6=CC=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)S6)=C(C7=CC(SC(C)=C8)=C8S7)S5)=C1F
1060	PBDTT-DTFPQx	S438	7.20 	7.00 	0.870 	11.400 	0.730 	81.0 	43.1 	1.88 	1343	5.52 	3.86 	1.66 	CC1=CC2=C(C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(OCCCCCCCC)C(OCCCCCCCC)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(F)C=C8)C(C9=CC=C(F)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11)S1
1061	PC1BT6	S439	7.34 	7.21 	0.950 	14.000 	0.552 	134.4 	42.0 	3.20 	1220	5.48 	3.59 	2.01 	CC1=CC2=C(C3=CC(N(C)C4=C5C=C6C(C7=CC=C(C8=CC=C(C9=C(OCCCCCC)C(OCCCCCC)=C(C%10=CC=C(C)S%10)C%11=NSN=C%119)S8)C=C7C6(CCCCCC)CCCCCC)=C4)=C5C=C3C2(CCCCCC)CCCCCC)C=C1
1062	PC2BT6	S439	6.62 	6.46 	0.990 	13.110 	0.510 	34.7 	20.4 	1.70 	1234	5.49 	3.56 	2.00 	CC1=CC2=C(C3=CC(N(CC)C4=C5C=C6C(C7=CC=C(C8=CC=C(C9=C(OCCCCCC)C(OCCCCCC)=C(C%10=CC=C(C)S%10)C%11=NSN=C%119)S8)C=C7C6(CCCCCC)CCCCCC)=C4)=C5C=C3C2(CCCCCC)CCCCCC)C=C1
1063	PC6BT6	S439	6.39 	6.21 	0.980 	12.910 	0.505 	47.3 	27.8 	1.70 	1290	5.49 	3.56 	2.01 	CC1=CC2=C(C3=CC(N(CCCCCC)C4=C5C=C6C(C7=CC=C(C8=CC=C(C9=C(OCCCCCC)C(OCCCCCC)=C(C%10=CC=C(C)S%10)C%11=NSN=C%119)S8)C=C7C6(CCCCCC)CCCCCC)=C4)=C5C=C3C2(CCCCCC)CCCCCC)C=C1
1064	PNC2C4BT6	S439	6.67 	6.44 	0.990 	13.240 	0.509 	52.9 	25.2 	2.10 	1122	5.48 	3.63 	2.01 	CC1=CC2=C(C3=CC(N(CC)C4=C5C=C6C(C7=CC=C(C8=CC=C(C9=C(OCCCCCC)C(OCCCCCC)=C(C%10=CC=C(C)S%10)C%11=NSN=C%119)S8)C=C7C6(CCCC)CCCC)=C4)=C5C=C3C2(CCCC)CCCC)C=C1
1065	PC2BT	S439	4.02 	3.94 	1.010 	10.480 	0.380 	19.7 	11.6 	1.70 	1202	5.54 	3.61 	2.00 	CC1=CC2=C(C3=CC(N(CC)C4=C5C=C6C(C7=CC=C(C8=C(CCCCCC)C=C(C9=CC=C(C%10=CC(CCCCCC)=C(C)S%10)C%11=NSN=C%119)S8)C=C7C6(CCCCCC)CCCCCC)=C4)=C5C=C3C2(CCCCCC)CCCCCC)C=C1
